mockid,event,distance_Mpc,sigma0_Mpc,kind,map_id,gwid,nside_native,rescaled_nside,n_pixels,window_captured_2d_prob,net_prob_to_galaxies,prob_to_galaxies_recomputed,mean_completeness_2dweighted,total_2d_prob_windowed,total_4d_prob_windowed,pix_area_deg2,recon_4d_sum,area_2d_50_deg2,area_4d_50_deg2,dArea_50_deg2,ratio_50_2d_over_4d,reduction_50_pct,area_2d_90_deg2,area_4d_90_deg2,dArea_90_deg2,ratio_90_2d_over_4d,reduction_90_pct
S231206cc_100Mpc,S231206cc,100.0,20.0,mock,96,S231206cc_100Mpc,256,256,8921,0.91,0.5346781800326743,0.5346781800326685,0.5875715610614516,0.9099796781634039,0.9099796781634091,0.052455852825697924,1.0,117.92075715216893,12.5894046781675,105.33135247400143,9.366666666666667,89.32384341637011,445.1403670788726,392.3173232833948,52.823043795477815,1.134643668939698,11.866603818053266
S231206cc_150Mpc,S231206cc,150.0,30.0,mock,97,S231206cc_150Mpc,256,256,8921,0.91,0.334956128752405,0.3349561287523986,0.3680918780828542,0.9099796781634039,0.9099796781634113,0.052455852825697924,1.0,117.92075715216893,65.41244847364531,52.50830867852362,1.8027265437048916,44.52846975088968,445.1403670788726,424.4203052127219,20.720061866150672,1.0488196761834137,4.654725430120196
S231206cc_200Mpc,S231206cc,200.0,40.0,mock,98,S231206cc_200Mpc,256,256,8921,0.91,0.34503197177711087,0.3450319717771022,0.3791644803249609,0.9099796781634039,0.9099796781634134,0.052455852825697924,1.0,117.92075715216893,77.11010365377595,40.81065349839298,1.529251700680272,34.6085409252669,445.1403670788726,415.9749129077845,29.165454171088072,1.0701134930643128,6.551967947207171
S231206cc_400Mpc,S231206cc,400.0,80.0,mock,99,S231206cc_400Mpc,256,256,8921,0.91,0.26204010429985714,0.26204010429985347,0.28796258926213,0.9099796781634039,0.9099796781634081,0.052455852825697924,1.0,117.92075715216893,104.59697053444167,13.323786617727265,1.127382146439318,11.29893238434163,445.1403670788726,436.7474306267609,8.392936452111712,1.0192169108815758,1.8854584020740142
S231206cc_700Mpc,S231206cc,700.0,140.0,mock,100,S231206cc_700Mpc,256,256,8921,0.91,0.037612451477010644,0.03761245147699924,0.04133328730253822,0.9099796781634039,0.9099796781634154,0.052455852825697924,1.0,117.92075715216893,117.02900765413207,0.8917494980368588,1.0076199013895113,0.7562277580071124,445.1403670788726,443.9338824638815,1.2064846149910977,1.0027177123951319,0.2710346452981483
S231206cc_1000Mpc,S231206cc,1000.0,200.0,mock,101,S231206cc_1000Mpc,256,256,8921,0.91,0.009932337397150381,0.009932337397146503,0.010914900228533418,0.9099796781634039,0.9099796781634076,0.052455852825697924,1.0,117.92075715216893,117.86830129934323,0.052455852825701754,1.0004450378282155,0.044483985765127805,445.1403670788726,444.8256319619184,0.3147351169541821,1.0007075471698113,0.07070469007777394
GW190814_40Mpc,GW190814,40.0,8.0,mock,106,GW190814_40Mpc,256,256,764,0.9099,0.3290922469005024,0.32909224690050415,0.3616672714534252,0.9099309583031596,0.9099309583031577,0.052455852825697924,1.0,7.4487311012491055,3.357174580844667,4.091556520404438,2.21875,54.929577464788736,37.715758181676804,36.14208259690587,1.5736755847709318,1.0435413642960811,4.172461752433921
GW190814_80Mpc,GW190814,80.0,16.0,mock,107,GW190814_80Mpc,256,256,764,0.9099,0.9099309583031603,0.9099309583031596,1.0,0.9099309583031596,0.9099309583031601,0.052455852825697924,1.0,7.4487311012491055,0.36719096977988547,7.08154013146922,20.28571428571429,95.07042253521126,37.715758181676804,2.3605133771564066,35.355244804520396,15.977777777777776,93.7413073713491
GW190814_100Mpc,GW190814,100.0,20.0,mock,108,GW190814_100Mpc,256,256,764,0.9099,0.5947446614417802,0.5947446614417794,0.6536151518032313,0.9099309583031596,0.9099309583031605,0.052455852825697924,1.0,7.4487311012491055,0.7343819395597709,6.714349161689334,10.142857142857144,90.14084507042253,37.715758181676804,33.67665751409807,4.039100667578737,1.1199376947040498,10.709318497913761
GW190814_150Mpc,GW190814,150.0,30.0,mock,109,GW190814_150Mpc,256,256,764,0.9099,0.3634007190829782,0.3634007190829779,0.3993717498750103,0.9099309583031596,0.9099309583031603,0.052455852825697924,1.0,7.4487311012491055,5.140673576918396,2.3080575243307093,1.4489795918367347,30.98591549295775,37.715758181676804,34.35858360083214,3.3571745808446636,1.0977099236641221,8.90125173852572
GW190814_200Mpc,GW190814,200.0,40.0,mock,110,GW190814_200Mpc,256,256,764,0.9099,0.2116529029712393,0.21165290297123826,0.23260325526887102,0.9099309583031596,0.9099309583031606,0.052455852825697924,1.0,7.4487311012491055,6.81926086734073,0.6294702339083758,1.0923076923076924,8.450704225352121,37.715758181676804,37.19119965341983,0.5245585282569749,1.0141043723554302,1.390820584144634
GW190814_400Mpc,GW190814,400.0,80.0,mock,111,GW190814_400Mpc,256,256,764,0.9099,0.2197904374184445,0.21979043741844445,0.24154627932245534,0.9099309583031596,0.9099309583031601,0.052455852825697924,1.0,7.4487311012491055,7.4487311012491055,0.0,1.0,0.0,37.715758181676804,37.13874380059413,0.5770143810826767,1.0155367231638417,1.5299026425591087
GW190814_700Mpc,GW190814,700.0,140.0,mock,112,GW190814_700Mpc,256,256,764,0.9099,0.06476916237757124,0.0647691623775698,0.07118030416104472,0.9099309583031596,0.9099309583031607,0.052455852825697924,1.0,7.4487311012491055,7.4487311012491055,0.0,1.0,0.0,37.715758181676804,37.50593477037402,0.2098234113027857,1.0055944055944055,0.5563282336578422
GW190814_1000Mpc,GW190814,1000.0,200.0,mock,113,GW190814_1000Mpc,256,256,764,0.9099,0.04574416661844949,0.04574416661844999,0.050272129111590805,0.9099309583031596,0.9099309583031591,0.052455852825697924,1.0,7.4487311012491055,7.501186954074803,-0.05245585282569731,0.9930069930069931,-0.7042253521126678,37.715758181676804,37.715758181676804,0.0,1.0,0.0
S240413p_40Mpc,S240413p,40.0,8.0,mock,114,S240413p_40Mpc,256,256,759,0.9099,0.7934139424129325,0.7934139424129312,0.8719770997792864,0.9099022699263077,0.9099022699263094,0.052455852825697924,1.0,12.746772236644595,0.052455852825697924,12.694316383818897,243.0,99.58847736625515,38.240316709933786,22.24128159809592,15.999035111837866,1.7193396226415094,41.838134430727024
S240413p_80Mpc,S240413p,80.0,16.0,mock,115,S240413p_80Mpc,256,256,759,0.9099,0.5484648712540746,0.5484648712540727,0.6027733849905578,0.9099022699263077,0.9099022699263104,0.052455852825697924,1.0,12.746772236644595,1.1540287621653542,11.592743474479242,11.045454545454547,90.94650205761317,38.240316709933786,34.46349530648354,3.776821403450249,1.1095890410958904,9.876543209876539
S240413p_100Mpc,S240413p,100.0,20.0,mock,116,S240413p_100Mpc,256,256,759,0.9099,0.8150204932492545,0.8150204932492533,0.8957231124560896,0.9099022699263077,0.9099022699263102,0.052455852825697924,1.0,12.746772236644595,0.8392936452111668,11.907478591433428,15.1875,93.4156378600823,38.240316709933786,20.405326749196494,17.834989960737293,1.8740359897172234,46.63923182441701
S240413p_150Mpc,S240413p,150.0,30.0,mock,117,S240413p_150Mpc,256,256,759,0.9099,0.8279770528276873,0.827977052827686,0.9099626192764012,0.9099022699263077,0.9099022699263102,0.052455852825697924,1.0,12.746772236644595,0.9966612036882605,11.750111032956335,12.789473684210527,92.18106995884774,38.240316709933786,20.457782602022192,17.782534107911594,1.869230769230769,46.50205761316872
S240413p_200Mpc,S240413p,200.0,40.0,mock,118,S240413p_200Mpc,256,256,759,0.9099,0.5156903221438605,0.5156903221438599,0.5667535285801906,0.9099022699263077,0.9099022699263094,0.052455852825697924,1.0,12.746772236644595,4.196468226055834,8.55030401058876,3.0375,67.07818930041152,38.240316709933786,33.04718728018969,5.193129429744097,1.1571428571428573,13.580246913580254
S240413p_400Mpc,S240413p,400.0,80.0,mock,119,S240413p_400Mpc,256,256,759,0.9099,0.36002256235949714,0.360022562359496,0.3956716828376018,0.9099022699263077,0.90990226992631,0.052455852825697924,1.0,12.746772236644595,9.704332772754116,3.0424394638904797,1.3135135135135134,23.868312757201647,38.240316709933786,37.40102306472262,0.8392936452111641,1.0224403927068724,2.194787379972558
S240413p_700Mpc,S240413p,700.0,140.0,mock,120,S240413p_700Mpc,256,256,759,0.9099,0.0864627922838559,0.0864627922838541,0.09502426265059943,0.9099022699263077,0.9099022699263094,0.052455852825697924,1.0,12.746772236644595,12.169757855561919,0.5770143810826767,1.0474137931034482,4.5267489711934115,38.240316709933786,38.030493298630994,0.2098234113027928,1.0055172413793103,0.5486968449931442
S240413p_1000Mpc,S240413p,1000.0,200.0,mock,121,S240413p_1000Mpc,256,256,759,0.9099,0.02405545857374991,0.024055458573749494,0.02643740912493572,0.9099022699263077,0.9099022699263082,0.052455852825697924,1.0,12.746772236644595,12.746772236644595,0.0,1.0,0.0,38.240316709933786,38.240316709933786,0.0,1.0,0.0
